afghanistan, kabul
albania, tirana
algeria, algiers
andorra, andorra la vella
angola, luanda
antigua and barbuda, saint john's
argentina, buenos aires
armenia, yerevan
australia, canberra
austria, vienna
azerbaijan, baku
bahamas, nassau
bahrain, manama
bangladesh, dhaka
barbados, bridgetown
belarus, minsk
belgium, brussels
belize, belmopan
benin, porto-novo
bhutan, thimphu
bolivia, sucre la paz
bosnia and herzegovina, sarajevo
botswana, gaborone
brazil, brasilia
brunei, bandar seri begawan
bulgaria, sofia
burkina faso, ouagadougou
burundi, gitega
cabo verde, praia
cambodia, phnom penh
cameroon, yaounde
canada, ottawa
central african republic, bangui
chad, N'Djamena
chile, santiago
china, beijing
colombia, bogota
comoros, moroni
democratic republic of the congo, kinshasa
republic of the congo, brazzaville
costa rica, san jose
cote d'ivoire, yamoussoukro
croatia, zagreb
cuba, havana
cyprus, nicosia
czechia, prague
